altitud,pendiente,orientacion,is_fire,date,geometry,t_max,u,v,specific_humidity,relative_humidity
644.6235,53.72409,30.371418,False,2004-05-03 08:28:09,POINT (5.885041077678071 38.80189188780352),295.681640625,4.55523157119751,6.04992151260376,0.007945500314235687,65.69148254394531
3.0,0.351406,350.16895,False,1996-05-17 18:16:51,POINT (5.91287921068919 38.87048064190169),290.966552734375,0.300633043050766,2.1954050064086914,0.010562926530838013,85.00161743164062
155.069,29.476328,135.866,False,1996-10-11 10:30:42,POINT (5.929240659655831 38.80583637708446),290.274658203125,3.9829466342926025,-4.266265392303467,0.008307456970214844,68.38825988769531
376.10925,5.116585,15.310265,False,2002-11-23 16:26:18,POINT (5.84833488766702 38.80675724402072),293.220458984375,0.5244964957237244,6.11954927444458,0.007876381278038025,63.60762023925781
10.27825,1.370338,12.806389,False,2007-12-09 13:29:37,POINT (5.922061364126166 38.85128699702156),290.517822265625,11.3326416015625,-0.23449666798114777,0.007622085511684418,65.99566650390625
1.798,0.8569768,110.89349,False,2016-01-17 14:10:54,POINT (5.954993829539535 38.88144871208493),283.3779296875,8.346116065979004,-14.61181640625,0.00349772023037076,47.574737548828125
13.07,25.671728,292.37982,False,2006-07-08 00:48:36,POINT (5.901040340905792 38.86982962279598),296.0283203125,2.473059892654419,-4.928457736968994,0.01128426194190979,67.66152954101562
462.5895,48.27296,178.96436,True,2015-05-14 00:00:00,POINT (5.883931976802367 38.8100726037804),300.36669921875,4.318411350250244,6.381507873535156,0.005129553377628326,26.99224853515625
27.67675,27.725407,138.79291,True,1995-04-21 00:00:00,POINT (5.913597484784129 38.88523755625548),288.883544921875,3.2213566303253174,0.3422333300113678,0.00743444636464119,80.102294921875
134.4265,52.057686,123.75621,False,2011-06-24 03:14:45,POINT (5.940023323360912 38.82025012901619),293.650390625,-1.10506010055542,-7.51771879196167,0.009405482560396194,62.909847259521484
189.76974,8.545498,356.34723,False,2016-12-16 12:47:15,POINT (5.865164575576249 38.85747257227433),287.961181640625,-9.754007339477539,2.6743085384368896,0.006809186190366745,65.65919494628906
1.1290001,1.3691372,171.94385,False,2016-06-30 09:43:28,POINT (5.956892446892994 38.87581504448764),295.63427734375,-4.877218246459961,-5.567941188812256,0.012131821364164352,72.13619995117188
90.544,2.260738,31.593822,False,1994-02-18 20:02:25,POINT (5.942716130411705 38.81013715683295),285.140625,3.5667459964752197,-4.885422229766846,0.004568804055452347,58.097412109375
74.63,3.702944,99.29465,False,2003-11-01 14:55:11,POINT (5.864540716033808 38.88640723590702),291.692138671875,9.16702938079834,2.0787863731384277,0.008168905973434448,68.99516296386719
154.7995,42.021652,140.35007,False,2008-09-18 13:54:19,POINT (5.932539776791101 38.81187973836705),295.5439453125,-6.84838342666626,1.7375246286392212,0.010610576719045639,67.47637939453125
0.89125,0.14063703,132.83873,False,1995-03-25 12:07:16,POINT (5.940700381200116 38.85906208017422),285.17822265625,-1.1137219667434692,1.1771970987319946,0.005431365221738815,65.70384216308594
388.61575,59.145134,272.72263,True,2015-05-14 00:00:00,POINT (5.849678263274176 38.82312126772089),300.218505859375,4.3942999839782715,6.351332187652588,0.005195841193199158,27.508087158203125
254.81676,31.62859,142.92517,False,1999-10-26 18:36:53,POINT (5.940262254807013 38.82605496081613),300.11181640625,-4.150567054748535,-1.2399641275405884,0.007537465542554855,34.09886169433594
68.559,91.553665,144.43169,False,1997-04-10 03:07:32,POINT (5.866738172525751 38.88085769843975),285.479248046875,-11.7997407913208,2.3415334224700928,0.00590028241276741,66.1142578125
1.072,0.52825856,317.68524,False,2005-09-18 00:29:11,POINT (5.954636665707208 38.8672686036933),293.144775390625,-1.1947494745254517,-7.987998962402344,0.008856277912855148,60.99665832519531
193.03426,23.613695,312.53076,False,2015-01-26 05:16:05,POINT (5.956038171437743 38.8329538185104),282.14208984375,0.4230095148086548,-14.625114440917969,0.004550036042928696,63.8088264465332
186.004,64.17459,110.82565,False,1999-04-03 15:40:09,POINT (5.903436622607964 38.82251725786671),288.853271484375,5.730010509490967,-9.509700775146484,0.006724704056978226,63.53672409057617
289.97174,17.18876,143.57953,False,2013-11-19 17:45:04,POINT (5.933319894363261 38.82807649214454),289.160888671875,10.651599884033203,-0.9832698702812195,0.007564779371023178,71.07417297363281
430.739,65.79806,46.65664,False,2016-12-08 09:18:23,POINT (5.90866987668702 38.80396329018298),288.679931640625,-11.590331077575684,0.7188898921012878,0.00859733298420906,78.97171020507812
196.01276,82.03585,31.301605,False,1995-04-15 13:15:28,POINT (5.916738803875328 38.82394240810056),286.092529296875,-1.4220037460327148,-7.484259128570557,0.0037527820095419884,44.154632568359375
485.88025,56.76968,22.917068,True,2015-05-14 00:00:00,POINT (5.858438535309908 38.82187102385657),300.2373046875,4.379144191741943,6.355763912200928,0.005181659013032913,27.428115844726562
1.2285,0.6909344,346.29053,False,2010-03-06 00:56:17,POINT (5.948153734386552 38.8763064436586),284.244140625,-7.520759582519531,-2.197031259536743,0.0035445026587694883,45.60502624511719
7.0907497,11.002244,38.120476,False,2008-12-11 00:02:26,POINT (5.933544923211214 38.84897186478968),284.003662109375,7.759310245513916,-10.120987892150879,0.0028731697238981724,35.29325866699219
274.311,42.221024,355.7757,False,2017-12-25 01:59:38,POINT (5.930469947307741 38.82598589868772),286.54638671875,-0.22692322731018066,5.352388858795166,0.006556246429681778,68.79208374023438
33.658,6.9997416,172.71057,False,2012-09-07 01:07:39,POINT (5.883128040584638 38.85576888550013),294.95849609375,-1.0761094093322754,-2.2715909481048584,0.012551568448543549,77.04763793945312
160.59825,56.663258,187.35364,False,2013-10-10 04:06:50,POINT (5.850678805687196 38.84962895462203),294.308837890625,-1.3812099695205688,-0.05333481356501579,0.010026633739471436,68.43914794921875
546.37,21.421358,80.22286,True,2015-05-14 00:00:00,POINT (5.868608588608853 38.81558538446592),300.30322265625,4.351698398590088,6.368526458740234,0.005158774554729462,27.214874267578125
147.362,26.316849,127.007034,False,2003-01-10 18:54:25,POINT (5.923808916462793 38.7997112015531),285.740234375,-4.645254611968994,-0.8762527108192444,0.0052142515778541565,58.21132278442383
127.03175,6.1122813,84.054855,False,2019-12-19 19:24:33,POINT (5.926780753732968 38.79918628188982),288.638427734375,6.042733669281006,-0.4140303432941437,0.007136479020118713,69.48577880859375
21.979,2.4227428,38.800488,False,2014-06-01 01:04:41,POINT (5.908539159982581 38.84883196833432),290.9130859375,-2.661313533782959,-3.000951051712036,0.008886493742465973,70.74874877929688
105.34675,52.67755,209.04135,False,1996-10-21 03:58:42,POINT (5.888706772427261 38.86549591032139),290.704345703125,7.06886625289917,-3.0590293407440186,0.00968531146645546,80.84306335449219
563.1235,54.045204,346.80527,False,1995-02-11 03:21:54,POINT (5.850551382031604 38.80026153520642),287.935546875,-2.862598419189453,-0.5666929483413696,0.00850587710738182,81.37309265136719
28.08525,3.4791014,44.476032,False,2017-07-23 16:58:42,POINT (5.891135292818733 38.85291310083525),298.51806640625,-3.3559200763702393,-3.0544233322143555,0.015495572239160538,78.72325134277344
278.2755,52.29746,216.0096,True,2006-03-05 00:00:00,POINT (5.849775906199505 38.85298440576054),288.584228515625,9.781266212463379,-0.2081846445798874,0.004474911838769913,68.214599609375
17.00975,1.5043535,107.30579,False,2001-10-27 16:31:10,POINT (5.920748355962584 38.84735587294229),293.38916015625,-5.140201091766357,2.5672085285186768,0.009586077183485031,68.2738037109375
322.65173,55.494453,34.031933,False,2000-07-02 10:09:27,POINT (5.923127124510808 38.80837703053021),304.260498046875,-3.1158735752105713,5.536142349243164,0.009131107479333878,32.58668518066406
0.95849997,0.91205883,40.720528,False,2003-06-11 06:26:30,POINT (5.938789704549623 38.86442553997171),298.95166015625,-5.484059810638428,-0.5397759675979614,0.008404135704040527,40.30094909667969
171.1855,47.241894,344.23062,False,2012-12-23 22:12:49,POINT (5.854244660341954 38.88116398180833),287.634521484375,4.872763633728027,2.249574661254883,0.006798863410949707,66.79635620117188
307.6535,190.0848,258.66095,False,2011-10-20 20:27:04,POINT (5.905476130223433 38.81886285794808),292.94873046875,0.21323776245117188,-9.038310050964355,0.006024661939591169,51.69044494628906
